num,family,P_adopted_h,shape,status,n_sectors,n_cycles_best,peak_width_frac,P_sigma_h,doubling,decomb,chunked,quarantine
24687,Hungaria,4.0981,Dd,CONFIRMED,3,132.01,0.0068,0.01188,NONE(1P),NOT-RUN,False,False
76865,Hungaria,2.2942,S,CONFIRMED,2,212.06,0.0042,0.004093,NONE(1P),NOT-RUN,False,False
200474,Hungaria,7.1426,Dd,CONFIRMED,2,90.16,0.0105,0.03185,NONE(1P),NOT-RUN,False,False
86420,Hungaria,8.211,Sq,CONFIRMED,3,55.25,0.0168,0.05859,NONE(1P),NOT-RUN,False,False
74511,Hungaria,16.8991,Sq,CONFIRMED,2,29.87,0.0326,0.2336,NONE(1P),NOT-RUN,False,False
10667,Hungaria,20.2932,Sq,CONFIRMED,3,29.97,0.0289,0.2489,NONE(1P),NOT-RUN,False,False
147449,Hungaria,33.555,D,CONFIRMED,2,19.25,0.0793,1.13,NONE(1P),NOT-RUN,False,False
39866,Hungaria,44.7738,D,CONFIRMED,4,13.78,0.0646,1.228,NONE(1P),NOT-RUN,False,False
92227,Hungaria,93.12,2P,CONFIRMED,2,6.99,0.0578,1.142,CONVENTION,NOT-RUN,False,False
58098,Hungaria,56.5441,D,CONFIRMED,2,6.82,0.126,3.026,NONE(1P),NOT-RUN,False,False
23452,Hungaria,3.772,Dd,CONFIRMED,1,63.14,0.0362,0.05804,NONE(1P),NOT-RUN,False,False
71737,Hungaria,4.2921,Dd,CANDIDATE,0,,,,NONE(1P),NOT-RUN,False,False
97779,Hungaria,7.0108,Dd,CANDIDATE,2,84.66,0.0168,0.05003,NONE(1P),NOT-RUN,False,False
55720,Hungaria,10.4668,Dd,CANDIDATE,1,42.56,0.0205,0.09102,NONE(1P),NOT-RUN,False,False
53422,Hungaria,26.6024,Dd,CONFIRMED,1,12.84,0.053,0.5991,NONE(1P),NOT-RUN,False,False
45825,Hungaria,33.7133,Dd,CANDIDATE,1,7.37,0.4632,6.631,NONE(1P),NOT-RUN,False,False
56351,Hungaria,33.8883,Dd,CANDIDATE,1,17.43,0.0404,0.5819,NONE(1P),NOT-RUN,False,False
43357,Hungaria,34.0497,Dd,CONFIRMED,1,12.01,0.0609,0.8807,NONE(1P),NOT-RUN,False,False
66195,Hungaria,52.4002,2P,CONFIRMED,1,10.9,0.0389,0.4323,CONVENTION,NOT-RUN,False,False
3852,Themis,5.798,2P,CONFIRMED,2,102.31,0.0047,0.005818,CONVENTION,survived,False,False
3071,Themis,10.28,2P,CONFIRMED,2,42.88,0.0089,0.01948,CONVENTION,survived,False,False
3208,Themis,7.472,1P,CONFIRMED,3,76.95,0.0095,0.02999,NONE(1P),survived,False,False
